绑工资卡可以分期吗,绑可以分期
我自己家app是用儿子的手机我妈家是用我爸的手机,app是是手机
密码是对的但是一直提示不对,密码是一直提示不对
是的手机可以链接WiFi,可以链接WiFi
试过两个我总不可以拿到其他人家吧也太不方便了,试过可以拿到其他人家太不方便
你给我换一个吧我感觉质量有问题,换一个质量有问题
的多长时间了,的多长时间
意思是寄回去给厂里修理吗,意思是寄回去
如果这样麻烦我直接退货吧我在找别人家买吧,这样麻烦直接退货在找别人家买
那我直接退货是不是省事了,直接退货是不是省事
如果不可以换那我先退了吧,可以换先退
我是给老人买的时间太麻烦,我是时间太麻烦
我买了东西不是七天可以无理由退换货吗,我买东西不是可以无理由
我没有超时呀,我没有超时
我出运费退货好了,我出运费退货好
那我问问淘宝客服吧,我问问淘宝客服
还得检测完才可以退了,得检测完可以退
怎么样只能识别主人声音呢现在是别人说话它也听,现在是别人说话它
嗯嗯添加过为什么还不能识别呢,嗯嗯添加不能识别
优惠的80已经收到了谢谢,已经收到谢谢
有事再联系您哈万分感谢,有事再联系哈万分感谢
还有电子发票也没收到下载的短信,还有也没收到短信
刚接到电话了,刚接到电话
问你一个问题亲这xR回来充了四个小时了还没充满电,问亲xR回来充个小时没充满电
哦哦知道了亲,哦哦知道亲
明后天我在查询还是一样的结果我只能退货,在查询只能退货
购二退一另一个未退款应该寄还的,购二退未退款应该寄还
购二件还一件同时寄同一包邮递员没有通知收货而退回那另一件呢怎办啊,同时寄同没有通知收货而退回怎办
二件退一件的款另一件还未退款说什么重购,未退款说什么重购
支付宝付款的未收到退款,未收到退款
我不怕麻烦,我不怕麻烦
我也就麻烦麻烦你,麻烦麻烦你
我拆了包装还不行哦,我拆包装不行哦
我不用这个手机包装我也拆了,手机包装也拆
我还就要退了就是你们的责任,就要退就是责任
咋这事就算磕这里了,就算磕这里
我能投诉到你不开网店那天,能投诉到网店那天
你们出的问题让我买单,问题让买单
退货我也不可能选择无理由,退货可能选择无理由
无非就淘宝小二介入,就淘宝小二介入
当然你可以拒绝我退货,可以拒绝我退货
你不要跟个机器人一样说的重复的话,不要跟个机器人重复
把全网通的给我寄来我把这个定制版的给你寄过去,寄来寄过去
你不放心我可以先拍一个,不放心可以先拍一个
再拍一个手机,再拍一个手机
以后有你头疼的,以后有你头疼
你还得怎么滴,还得怎么滴
我现在买你还不给我发货,现在买你不给我发货
退货正常退不可能给你选择无理由,正常退选择无理由
你欺诈消费者,欺诈消费者
说白了挂羊头卖狗肉,说白了挂羊头卖狗肉
我是20pro,我是20pro
对了这是之前答应要返现26元的,这是之前答应要返现26元
我说的是我有两张卡,是我有两张卡
那么内存卡放哪里哪里,内存卡放哪里哪里
可是我东西一大半都在内存卡里,都在内存卡里
这个手机的电池显示在哪里啊,电池显示在哪里
我今天申请退换货并且把货寄出去了刚才天猫后台已经把退款打回来了我是要换货这是怎么回事儿呢,今天申请退换货寄出去打回来我是要换货
不好意思我以为您能看到呢,我以为能看到
我发了截屏过去啊,我发截屏过去
那你们收到后我需要再把款打回去吗,我需要打回去
我在退货中放了小纸条了说明了换货的情况会不会再给我换了呢我现在担心重拍之后再出现这样的问题,放小纸条说明换
亲麻烦回复一下我的问题哦,亲麻烦回复一下问题
就是说不会出现两换货回来的情况了吧,不会出现情况
不会出错就行了,不会出错就行了
我们这边10元买不到店里要30多呢,店里要30
现在我这里下雨怎么冷的夜晚还要外出你申请25我就外卖,这里下雨还要外出你申请就外卖
我还不知道我这边有没有这个型号的膜要不出去看看,不知道这边有没有膜
我找了好多店才找到要30的你退我20我吃亏一点算了,我找好多店才找到你退我20
扫地机器人退回可以换些什么东西,机器人退回可以换什么东西
昨天联系过了,昨天联系过
推都推不起走,推都推不起走
这个是什么,这个是什么
你们也没有说清楚啊,没有说清楚
说清楚官方不送耳机啊,说清楚不送耳机
算了给我发两条充电线吧,算了给我发两条充电线
坏的一条怎么办啊,一条怎么办
太不理解了两台机子不要退货,不理解不要退货
质量不好我不要啊,质量不好我不要
我说过有的卖家你比你们旗舰店便宜我没买就是信得过你们一条线能成这样子,我说过便宜没买就是信得过条线
我也说了原装不原装没问题质量好就行了,也说好就行了
我收到手机是移动4G优先的能换联通4G优先吗,我收到手机是能换4G
能换全网通的吗,能换全网通
你们这款没有心率检测功能,这款没有检测功能
我看使用说明和手环显示没有这个功能APP有个板块实现不了,我看使用说明
你们虚假宣传应该怎么处理呢,虚假宣传怎么处理
那我找京东客服投诉了,我找京东客服投诉
手机壳到了退一下差价,手机壳到退一下差价
我有看到别人忽悠到一个哦,我有看到别人忽悠到一个
你去搜搜看吧我就不要了,你去搜搜看吧我就不要
手机卡要剪成小卡的吧,要剪成小卡
手机壳定制要多久,手机壳定制要多久
我想做一个拼命姑娘,我想做拼命姑娘
就是说我设计好了发你就可以了是吧,我设计好发你是
我想多了解了解,我想多了解了解
那不是ud版的指纹在后面,不是指纹在后面
是不是8126的都是ud版,都是ud版
花呗只有1700额度,花呗只有1700额度
能不能调低格我买两次分期签定协议发一台,能不能调低格我买两次分期签定协议发一台
官方店上都没得卖你们是怎么拿到货的啊,没得卖你们是怎么拿到货
可以分期付款吗,可以分期付款
你好老板手机壳定制多少个起订,你好手机壳定制个起订
赠品最大化的送不要我在备注了吧,送我在备注
需要备注的就是翻盖手机壳,就是翻盖手机壳
翻盖的手机壳官方有配送吗,官方有配送
哦好的备注送扫地人和无线充吧,备注送扫地人
为什么要备注啊不是27个赠品吗,不是个赠品
好的看你这么会说来了128的碎屏险,看会说来碎屏险
32g和128g是运行内存吗,g是运行内存
这两个有什么区别,个有什么区别
电子版发票,电子版发票
你们怎么还没打短信货都到了,没打短信货都到了
helo和普通的区别,helo区别
hello和普通的区别,hello区别
你帮我催一下,你帮催一下
我买这个充电器怎么充电啊没有数据线,我买这个充电器怎么充电啊没有数据线
包寄回去了扫地机器人寄出来没有,包寄回去扫地机器人寄出来没有
而且定制的手机壳不是镜面的吗,手机壳不是镜面
怎么是塑料的,怎么是塑料
抱歉我已经知道了没问题了,已经知道没问题
手机有贴钢化膜吗,手机有钢化膜
关不了我不按发货就可以了过两天会自动关闭,不按发货自动关闭
怎么没有发票,怎么没有发票
这手机不是我要的是我同事下班了我得和他说下具体看他,是同事下班
另如果在你这里成功购买可不可以多送一条数据线,成功购买多送一条数据线
我本身用的也是魅蓝的我的那条出了点问题,本身用条出点问题
好的谢谢下班后我问下同事,谢谢我问下同事
三包多长时间,三包多长时间
手机收到了怎么要求的礼物没有呢,手机收到礼物没有
pro和mate20,pro和mate20
价格差那么多,价格差那么多
pro内存最少是128g么,最少是128g
不好意思哈,不好意思哈
这款商品选择套餐八还可以礼品十二选吗,商品选择套餐十二选
单拍一个碎屏保多少钱,单拍碎屏保多少钱
下单8128版本的都有什么赠品,都有什么赠品
不买手机可以单拍碎屏险吗,单拍碎屏险
我一起拍下发生退货碎屏险一起退吗,一起拍下发生一起退
嗯今天下单多久收到,今天下单多久收到
河北省保定市高阳县,保定市高阳县
你直接帮我估价好了,直接帮估价好了
你好你家支持开增值税专用发票马,你好家支持开增值税专用发票马
只补签收当天的对吗,只补签收对
已评价是不是可以返现金,已评价可以返现金
哪里选择礼物,哪里选择礼物
卡上有5000花呗余额有1300,余额有1300
那就没法买了吗,就没法买了
一重礼无线充二重礼保温杯,无线充重礼保温杯
物流为什么不动了,为什么不动
明天是不是到不了了,明天是不是到不了
明天不到我就拒收了,明天不到我就拒收
过了明天就没有意义了,过就没有意义
你也不必再牵起说爱我,再牵起说爱我
我是不是老客户,我是不是老客户
那礼品四选一是什么呀,四选一是什么
我想问问上次买手机送的电子表是哪个型号,我想问问电子表是哪个型号
之前买了坚果pro,之前买了坚果pro
标配礼物一想选扫地机器人,一想选扫地机器人
付款了就这个算了,付款这个算了
你我备注把要扫地机器人,要扫地机器人
诶我收藏了买的还可以抽奖,诶我收藏可以抽奖
标配里是有个钢化膜的对吧,里是有钢化膜对
下单减40吗,下单减40
这款机子存在第三方软件吗,机子存在方软件
就说你这款v9机子有没有第三方软件,就说v9机子有没有方软件
你这款机子是反新的吗,机子是反新
因为你回收旧手机,你回收旧手机
那回收旧手机干嘛,那回收旧手机干嘛
我看了一下好像就是卖个旧手机吧我可以先到你们这里买一个新的然后再把我这个旧的卖掉了吧是不是,我看一下好像就是卖个旧手机
我想买个256的,我想买个256
给我老婆用的颜色要要鲜艳一点的,要鲜艳一点
